SMPDB ID,Pathway Name,Pathway Subject,Metabolite ID,Metabolite Name,HMDB ID,KEGG ID,ChEBI ID,DrugBank ID,CAS,Formula,IUPAC,SMILES,InChI,InChI Key
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C001144,NADH,HMDB0001487,C00004,16908,DB00157,58-68-4,C21H29N7O14P2,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]({[(2R,3S,4R,5R)-5-(3-carbamoyl-1,4-dihydropyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinic acid",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BOPGDPNILDQYTO-NNYOXOHSSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C040034,Hydrogen Ion,HMDB0059597,C00080,15378,,,H,hydron,[H+],InChI=1S/p+1,GPRLSGONYQIRFK-UHFFFAOYSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C001134,Dihydroxyacetone phosphate,HMDB0001473,C00111,16108,DB04326,57-04-5,C3H7O6P,(3-hydroxy-2-oxopropoxy)phosphonic acid,OCC(=O)COP(O)(O)=O,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)",GNGACRATGGDKBX-UHFFFAOYSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C000721,NAD,HMDB0000902,C00003,15846,,53-84-9,C21H28N7O14P2,"1-[(2R,3R,4S,5R)-5-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-3,4-dihydroxyoxolan-2-yl]-3-carbamoyl-1λ⁵-pyridin-1-ylium",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BAWFJGJZGIEFAR-NNYOXOHSSA-O
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C000081,Glycerol 3-phosphate,HMDB0000126,C00093,15978,DB02515,17989-41-2,C3H9O6P,"[(2R)-2,3-dihydroxypropoxy]phosphonic acid",OC[C@@H](O)COP(O)(O)=O,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1",AWUCVROLDVIAJX-GSVOUGTGSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C062923,Meadoyl-CoA,HMDB0062237,,,,,C41H68N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-3-{[2-({2-[(5Z,8Z,11Z)-icosa-5,8,11-trienoylsulfanyl]ethyl}carbamoyl)ethyl]carbamoyl}-2,2-dimethylpropoxy]phosphoryl}oxy)phosphoryl]oxy}methyl)oxolan-3-yl]oxy}phosphonic acid",CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C41H68N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h11-12,14-15,17-18,28-30,34-36,40,51-52H,4-10,13,16,19-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/b12-11-,15-14-,18-17-/t30-,34-,35-,36+,40-/m1/s1",XVHUACBAJILXGX-LQHPWBDPSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C001099,Coenzyme A,HMDB0001423,C00010,1146900,,85-61-0,C21H36N7O16P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-2,2-dimethyl-3-({2-[(2-sulfanylethyl)carbamoyl]ethyl}carbamoyl)propoxy]phosphoryl}oxy)phosphoryl]oxy}methyl)oxolan-3-yl]oxy}phosphonic acid",CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",RGJOEKWQDUBAIZ-IBOSZNHHSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C062936,"LPA(20:3(5Z,8Z,11Z)/0:0)",HMDB0114747,C00681,16975,,,C23H41O7P,"{2-hydroxy-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]propoxy}phosphonic acid",CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OCC(O)COP(O)(O)=O,"InChI=1S/C23H41O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(25)29-20-22(24)21-30-31(26,27)28/h9-10,12-13,15-16,22,24H,2-8,11,14,17-21H2,1H3,(H2,26,27,28)/b10-9-,13-12-,16-15-",GSDLIEVAGUEBCL-YOILPLPUSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C062928,Nervonoyl-CoA,HMDB0062221,C16532,74142,,,C45H80N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-2,2-dimethyl-3-{[2-({2-[(15Z)-tetracos-15-enoylsulfanyl]ethyl}carbamoyl)ethyl]carbamoyl}propoxy]phosphoryl}oxy)phosphoryl]oxy}methyl)oxolan-3-yl]oxy}phosphonic acid",CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C45H80N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-36(54)73-29-28-47-35(53)26-27-48-43(57)40(56)45(2,3)31-66-72(63,64)69-71(61,62)65-30-34-39(68-70(58,59)60)38(55)44(67-34)52-33-51-37-41(46)49-32-50-42(37)52/h11-12,32-34,38-40,44,55-56H,4-10,13-31H2,1-3H3,(H,47,53)(H,48,57)(H,61,62)(H,63,64)(H2,46,49,50)(H2,58,59,60)/b12-11-/t34-,38-,39-,40+,44-/m1/s1",QHZAQVTVYPHLKK-YVBAAGQKSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C062563,"PA(20:3(5Z,8Z,11Z)/24:1(15Z))",HMDB0115143,C00416,16337,,,C47H85O8P,"[(2R)-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]-2-[(15Z)-tetracos-15-enoyloxy]propoxy]phosphonic acid",[H][C@@](COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,"InChI=1S/C47H85O8P/c1-3-5-7-9-11-13-15-17-19-21-22-23-24-26-28-30-32-34-36-38-40-42-47(49)55-45(44-54-56(50,51)52)43-53-46(48)41-39-37-35-33-31-29-27-25-20-18-16-14-12-10-8-6-4-2/h17-20,27,29,33,35,45H,3-16,21-26,28,30-32,34,36-44H2,1-2H3,(H2,50,51,52)/b19-17-,20-18-,29-27-,35-33-/t45-/m1/s1",ZOFWQJCSLGGDCH-JFLSWYJMSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C001420,Water,HMDB0002111,C00001,15377,,7732-18-5,H2O,water,O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C003522,"DG(20:3(5Z,8Z,11Z)/24:1(15Z)/0:0)",HMDB0007471,C00165,,,,C47H84O5,"(2S)-1-hydroxy-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]propan-2-yl (15Z)-tetracos-15-enoate",[H][C@](CO)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,"InChI=1S/C47H84O5/c1-3-5-7-9-11-13-15-17-19-21-22-23-24-26-28-30-32-34-36-38-40-42-47(50)52-45(43-48)44-51-46(49)41-39-37-35-33-31-29-27-25-20-18-16-14-12-10-8-6-4-2/h17-20,27,29,33,35,45,48H,3-16,21-26,28,30-32,34,36-44H2,1-2H3/b19-17-,20-18-,29-27-,35-33-/t45-/m0/s1",RWFDWSSYELPEOP-LBTOYOBNSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C001104,Phosphate,HMDB0001429,C00009,18367,"",14265-44-2,O4P,phosphate,[O-]P([O-])([O-])=O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3",NBIIXXVUZAFLBC-UHFFFAOYSA-K
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C062927,Adrenoyl-CoA,HMDB0060203,C16170,63544,,,C43H70N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-2-({[({[(3R)-3-{[2-({2-[(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoylsulfanyl]ethyl}carbamoyl)ethyl]carbamoyl}-3-hydroxy-2,2-dimethylpropoxy](hydroxy)phosphoryl}oxy)(hydroxy)phosphoryl]oxy}methyl)-4-hydroxyoxolan-3-yl]oxy}phosphonic acid",CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C43H70N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h8-9,11-12,14-15,17-18,30-32,36-38,42,53-54H,4-7,10,13,16,19-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/b9-8-,12-11-,15-14-,18-17-/t32-,36-,37-,38+,42-/m1/s1",LVXQCHCSSLFKLO-KPOVBLHLSA-N
SMP0023211,"De Novo Triacylglycerol Biosynthesis TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",Metabolic,PW_C031679,"TG(20:3(5Z,8Z,11Z)/24:1(15Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0051130,,,,,C69H118O6,"(2R)-1-[(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoyloxy]-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]propan-2-yl (15Z)-tetracos-15-enoate",[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,"InChI=1S/C69H118O6/c1-4-7-10-13-16-19-22-25-28-31-33-34-36-39-42-45-48-51-54-57-60-63-69(72)75-66(64-73-67(70)61-58-55-52-49-46-43-40-37-30-27-24-21-18-15-12-9-6-3)65-74-68(71)62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h17,20,25-30,35,38,40,43-44,47,49,52,66H,4-16,18-19,21-24,31-34,36-37,39,41-42,45-46,48,50-51,53-65H2,1-3H3/b20-17-,28-25-,29-26-,30-27-,38-35-,43-40-,47-44-,52-49-/t66-/m0/s1",UFVAUMKJHCPSPK-PNTZJPLGSA-N
